tau1,tau2,tau3,tau4,tau5,tau6
8.824185826483699e-11,3.197442310920451e-14,-4.973799150320701e-14,-2.5646151868841116e-14,-2.0872192862952943e-14,-3.8519534784065e-15
-9.355516361608807e-12,1.4210854715202004e-14,-1.0658141036401503e-14,-1.4988010832439613e-14,-5.773159728050814e-15,-1.4155343563970746e-15
1.4443024554111616e-10,3.552713678800501e-14,-5.3290705182007514e-14,-4.773959005888173e-14,-2.886579864025407e-14,-6.426283116756082e-15
-2.041133928543104e-11,-1.1368683772161603e-13,1.6697754290362354e-13,1.0413891970983968e-13,7.993605777301127e-14,1.90130029775748e-14
1.2237089119793154e-10,-1.7763568394002505e-14,3.197442310920451e-14,2.3647750424515834e-14,1.4210854715202004e-14,3.8892500331400015e-15
1.6368906230468383e-11,0.0,-3.552713678800501e-15,6.661338147750939e-15,0.0,-4.917941054394248e-16
-7.151823577800087e-11,-2.1316282072803006e-14,1.0658141036401503e-14,9.43689570931383e-15,1.9984014443252818e-14,1.5113778284447932e-15
7.615796882021186e-11,7.815970093361102e-14,-1.1723955140041653e-13,-9.00390872971002e-14,-6.261657858885883e-14,-1.7591397089011807e-14
5.5570659185377735e-11,1.1013412404281553e-13,-1.3855583347321954e-13,-9.547918011776346e-14,-8.304468224196171e-14,-2.246640373737563e-14
-8.325895528571436e-11,-5.3290705182007514e-14,7.105427357601002e-14,5.972999872483342e-14,4.263256414560601e-14,1.1531574306555825e-14
-8.782974347809613e-12,-1.4210854715202004e-14,7.105427357601002e-15,-2.886579864025407e-15,3.552713678800501e-15,5.412337245047638e-16
-2.226805406735366e-10,-3.552713678800501e-14,-1.0196288258157438e-12,3.397282455352979e-14,3.3306690738754696e-14,8.735200063281212e-15
1.4852385987751404e-10,1.7763568394002505e-14,3.375077994860476e-13,7.771561172376096e-15,-9.769962616701378e-15,-2.9459941430776126e-15
-8.65263416471862e-11,1.7763568394002505e-14,-4.870770453635487e-12,1.2656542480726785e-14,-1.509903313490213e-14,-3.745484825068424e-15
-2.8260060958018585e-11,-2.4868995751603507e-14,6.394884621840902e-14,2.5868196473766147e-14,3.552713678800501e-14,8.451572774959004e-15
-5.544364967136062e-11,3.552713678800501e-14,-6.039613253960852e-14,-3.8191672047105385e-14,-3.68594044175552e-14,-7.890389730480507e-15
5.7401194908379694e-11,0.0,-3.552713678800501e-15,-1.532107773982716e-14,-5.329070518200751e-15,-1.7618285302889447e-15
-5.163514060768648e-11,4.973799150320701e-14,-9.592326932761353e-14,-4.285460875053104e-14,-6.261657858885883e-14,-1.2085167935826924e-14
-6.37845332107645e-11,0.0,7.105427357601002e-15,-1.099120794378905e-14,2.220446049250313e-15,-8.261620554339544e-17
-7.199485452247245e-11,0.0,3.552713678800501e-15,1.887379141862766e-14,1.3322676295501878e-15,-1.5493249044817858e-16
1.6862777840742638e-10,-3.552713678800501e-15,-7.105427357601002e-15,1.787459069646502e-14,8.881784197001252e-16,4.042989901198446e-16
2.2785329178987013e-11,1.0658141036401503e-14,-7.105427357601002e-15,6.106226635438361e-15,4.440892098500626e-16,1.60136660876109e-16
-5.53095347299859e-11,3.552713678800501e-14,-7.105427357601002e-15,-7.438494264988549e-15,-8.881784197001252e-16,-7.464731957562698e-17
-2.4570567802584264e-11,2.1316282072803006e-14,-3.552713678800501e-15,1.8096635301390052e-14,4.440892098500626e-16,6.299214622140781e-17
1.1341505512518779e-10,-2.4868995751603507e-14,3.552713678800501e-15,3.4083846855992306e-14,0.0,-3.340426893427839e-16
2.602362769721367e-11,1.7763568394002505e-14,-7.105427357601002e-15,3.397282455352979e-14,8.881784197001252e-16,1.0570971181733668e-15
5.929301494234096e-11,1.0658141036401503e-14,-3.552713678800501e-15,2.142730437526552e-14,-4.440892098500626e-16,1.3010426069826053e-18
-9.325873406851315e-13,2.1316282072803006e-14,7.105427357601002e-15,1.5210055437364645e-14,0.0,8.925152283900673e-16
-2.6908253403234994e-11,-3.552713678800501e-15,0.0,-1.432187701766452e-14,-8.881784197001252e-16,-2.5717275531356165e-16
-2.4522606167920458e-11,1.7763568394002505e-14,3.552713678800501e-15,3.9968028886505635e-15,-2.220446049250313e-15,-5.392821605942899e-16
-1.4168222151056398e-11,-2.842170943040401e-14,-3.552713678800501e-15,2.7755575615628914e-15,8.881784197001252e-16,9.128982292327947e-16
-1.7763568394002505e-12,-7.105427357601002e-15,-3.552713678800501e-15,-2.0872192862952943e-14,0.0,-1.940721888749053e-16
-2.6638247163646156e-11,-1.4210854715202004e-14,-3.552713678800501e-15,-4.6629367034256575e-15,8.881784197001252e-16,6.730727086790012e-16
9.823253321883385e-12,0.0,0.0,2.220446049250313e-15,-4.440892098500626e-16,-3.2873009869760494e-16
2.800959464366315e-11,0.0,-3.552713678800501e-15,3.097522238704187e-14,0.0,-1.9081958235744878e-17
1.8883028474192542e-10,-7.105427357601002e-15,-7.105427357601002e-15,1.9984014443252818e-15,-1.199040866595169e-14,-6.349087922075114e-16
1.5131007558011333e-11,2.842170943040401e-14,-2.842170943040401e-14,-2.0095036745715333e-14,-8.615330671091215e-14,-5.669943681230194e-15
1.1051781712012598e-10,2.842170943040401e-14,-1.4210854715202004e-14,-1.3766765505351941e-14,-4.263256414560601e-14,-1.7113047090511202e-15
-5.242739575805899e-11,0.0,-1.4210854715202004e-14,-8.881784197001252e-15,-3.552713678800501e-14,-1.4805864867462049e-15
-7.827694048501144e-11,0.0,-2.4868995751603507e-14,-1.1435297153639112e-14,-9.059419880941277e-14,-3.1368137254350614e-15
3.700151296470722e-11,2.1316282072803006e-14,-2.1316282072803006e-14,-3.219646771412954e-14,-1.305622276959184e-13,-4.042773060763949e-15
1.4030021588951058e-10,-7.105427357601002e-15,7.105427357601002e-15,6.439293542825908e-15,4.1300296516055823e-14,1.5955119170296683e-15
-1.0246026249660645e-11,-7.105427357601002e-15,0.0,-1.5765166949677223e-14,-6.972200594645983e-14,-2.8367065640910738e-15
-4.5709214191447245e-11,-2.842170943040401e-14,1.0658141036401503e-14,2.142730437526552e-14,5.728750807065808e-14,2.533997317533121e-15
-6.496492233054596e-11,0.0,0.0,6.8833827526759706e-15,3.9968028886505635e-15,-4.991666802123262e-16
-2.325251102774928e-11,7.105427357601002e-15,-3.552713678800501e-15,-2.220446049250313e-15,-2.531308496145357e-14,-1.4654076563314078e-15
3.3864466786326375e-11,-2.842170943040401e-14,7.105427357601002e-15,-1.4654943925052066e-14,-3.552713678800501e-14,-1.1548921541315593e-15
1.660467319197778e-10,-2.1316282072803006e-14,7.105427357601002e-15,-2.220446049250313e-16,1.4654943925052066e-14,2.7582103268031233e-16
-2.155893241706508e-10,2.1316282072803006e-14,7.105427357601002e-15,1.0658141036401503e-14,5.1514348342607263e-14,8.98586760555986e-16
6.144418307485466e-11,-2.842170943040401e-14,3.552713678800501e-15,3.352873534367973e-14,9.192646643896296e-14,2.209170346656464e-15
-1.3738343795921537e-11,-2.1316282072803006e-14,3.552713678800501e-15,0.0,9.325873406851315e-15,8.491471414906471e-16
-1.4225065569917206e-11,-1.4210854715202004e-14,1.0658141036401503e-14,4.973799150320701e-14,1.1857181902996672e-13,3.0721952759549254e-15
-1.1670664434859646e-11,-7.105427357601002e-15,0.0,8.881784197001252e-16,5.773159728050814e-15,7.37257477290143e-16
-4.916955731459893e-12,-1.4210854715202004e-14,3.552713678800501e-15,-1.1102230246251565e-15,2.6645352591003757e-15,-9.62771529167128e-16
1.7784884676075308e-11,-2.1316282072803006e-14,-7.105427357601002e-15,-2.220446049250313e-16,7.105427357601002e-15,-6.873841773558098e-16
